Date,Domain,City,Balance,Total_Transaction,Gender,Age,NumOfProducts,HasCrCard,Exited,EstimatedSalary
1/1/2022,RESTRAUNT,Bhuj,365554,1932,Female,42,1,1,1,101348.88
1/1/2022,INVESTMENTS,Ludhiana,847444,1721,Female,41,1,0,0,112542.58
1/1/2022,RETAIL,Goa,786941,1573,Female,42,3,1,1,113931.57
1/1/2022,INTERNATIONAL,Mathura,368610,2049,Female,39,2,0,0,93826.63
1/1/2022,RESTRAUNT,Madurai,615681,1519,Female,43,1,1,0,79084.1
1/1/2022,INTERNATIONAL,Daman,1191092,1813,Male,44,2,1,1,149756.71
1/1/2022,INTERNATIONAL,Buxar,968883,2098,Male,50,2,1,0,10062.8
1/1/2022,PUBLIC,Trichy,1030297,606,Female,29,4,1,1,119346.88
1/1/2022,RESTRAUNT,Kullu,688655,1463,Male,44,2,0,0,74940.5
1/1/2022,MEDICAL,Hyderabad,1174302,1463,Male,27,1,1,0,71725.73
1/1/2022,PUBLIC,Lucknow,912902,1035,Male,31,2,0,0,80181.12
1/1/2022,INVESTMENTS,Bikaner,436534,1093,Male,24,2,1,0,76390.01
1/1/2022,PUBLIC,Amritsar,849803,2013,Female,34,2,1,0,26260.98
1/1/2022,INVESTMENTS,Mathura,1180043,2068,Female,25,2,0,0,190857.79
1/1/2022,RETAIL,Doda,1003497,1654,Female,35,2,1,0,65951.65
1/1/2022,MEDICAL,Jaipur,616724,1686,Male,45,2,0,0,64327.26
1/1/2022,PUBLIC,Kannur,933938,1362,Male,58,1,1,1,5097.67
1/1/2022,RETAIL,Lunglei,521003,2304,Female,24,2,1,0,14406.41
1/1/2022,INVESTMENTS,Bombay,849779,1202,Male,45,1,0,0,158684.81
1/1/2022,INVESTMENTS,Kannur,770080,2431,Female,24,2,1,0,54724.03
1/1/2022,MEDICAL,Pune,762330,1492,Male,41,2,1,0,170886.17
1/1/2022,RETAIL,Amritsar,907177,2042,Female,32,2,1,0,138555.46
1/1/2022,INVESTMENTS,Hyderabad,326101,1789,Female,38,1,1,1,118913.53
1/1/2022,RESTRAUNT,Ajmer,778068,1892,Male,46,2,0,0,8487.75
1/1/2022,INVESTMENTS,Ludhiana,741605,541,Female,38,1,1,0,187616.16
1/1/2022,INTERNATIONAL,Mathura,735538,1475,Male,25,2,0,0,124508.29
1/1/2022,INTERNATIONAL,Ludhiana,1129467,501,Male,36,1,1,0,170041.95
1/1/2022,RETAIL,Bhind,555766,2035,Male,44,2,0,0,38433.35
1/1/2022,INTERNATIONAL,Akola,574197,1652,Female,43,1,1,0,100187.43
1/1/2022,RETAIL,Kanpur,327304,480,Male,29,2,1,0,53483.21
1/1/2022,RETAIL,Buxar,565665,1559,Female,39,3,1,1,140469.38
1/1/2022,RESTRAUNT,Ajmer,491234,860,Male,36,1,0,0,156731.91
1/1/2022,RESTRAUNT,Bhopal,1155932,2082,Male,41,2,0,0,81898.81
1/1/2022,INTERNATIONAL,Kanpur,1064632,787,Female,42,2,1,0,34410.55
1/1/2022,RETAIL,Vellore,685980,1883,Female,29,2,1,0,142033.07
1/1/2022,RESTRAUNT,Kullu,627093,1181,Female,45,1,1,1,27822.99
1/1/2022,RESTRAUNT,Lunglei,320601,1448,Male,31,1,0,0,114066.77
1/1/2022,PUBLIC,Daman,765631,1876,Male,33,1,0,0,98453.45
1/1/2022,RESTRAUNT,Kannur,629506,1141,Male,36,1,1,0,40812.9
1/1/2022,INTERNATIONAL,Surat,435491,1691,Male,41,2,0,0,178074.04
1/1/2022,RETAIL,Bhuj,816006,1173,Male,40,1,1,0,70154.22
1/1/2022,MEDICAL,Hyderabad,753346,2427,Female,51,1,0,1,181297.65
1/1/2022,PUBLIC,Ajmer,777949,1405,Female,61,1,1,0,94153.83
1/1/2022,INVESTMENTS,Ranchi,369580,1355,Female,49,1,0,1,194365.76
1/1/2022,RETAIL,Lunglei,515905,1780,Female,61,1,1,0,158338.39
1/1/2022,MEDICAL,Banglore,1138214,430,Female,32,2,1,0,126517.46
1/1/2022,EDUCATION,Banglore,379817,2196,Female,27,1,1,1,119708.21
1/1/2022,EDUCATION,Amritsar,799260,2430,Female,39,1,1,1,117622.8
1/1/2022,MEDICAL,Tirumala,893467,1704,Male,38,1,0,0,90878.13
1/1/2022,RESTRAUNT,Kanpur,363673,884,Female,37,2,1,0,194099.12
1/1/2022,INVESTMENTS,Trichy,1074381,2467,Male,44,2,1,0,198059.16
1/1/2022,INVESTMENTS,Bokaro,988853,1536,Male,36,2,0,0,86424.57
1/1/2022,RETAIL,Doda,913283,1296,Female,33,2,0,0,116978.19
